model,overall_rmse,overall_mae,overall_mse,overall_r2
random_forest,3.149406252038164e-05,8.718733298060759e-06,9.918759740377073e-10,0.9999997924978223
xgboost,5.5212968829182555e-05,2.9345878235344004e-05,3.0484719269322845e-09,0.9999988886233913
mlp_regressor,0.00039878858754111696,0.000261834365061443,1.590323375530391e-07,0.9999204769927694
