config_id,rmse,mae,mse,r2,bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
3,2.3397369583065533e-05,6.401478136926011e-06,5.474369034065602e-10,0.9999998773209022,False,16.0,sqrt,1,2,500
5,4.098030009121419e-05,2.16824869066789e-06,1.6793849955659699e-09,0.9999998066671766,False,20.0,,2,6,500
4,8.451759742248888e-05,1.5121280298836483e-06,7.1432242740699005e-09,0.9999995348203835,True,,sqrt,1,6,700
2,0.00010330635983078237,1.5796649623205775e-06,1.0672203981487087e-08,0.9999994607149678,True,,,1,6,300
6,0.00042202074073656904,1.7336814833170218e-05,1.7810150561184244e-07,0.9999874734414814,True,,sqrt,2,2,700
1,0.0005256834005208366,1.7912444105039053e-05,2.7634303758315037e-07,0.9999832472996802,True,,,2,2,300
