config_id,rmse,mae,mse,r2,colsample_bytree,gamma,learning_rate,max_depth,n_estimators,reg_lambda,subsample
6,5.301764026498509e-05,3.065409061953195e-05,2.8108701792673684e-09,0.9999988306874803,0.85,0.0,0.05,8,400,0.5,0.85
2,0.00015048383985671965,7.022423487662168e-05,2.2645386058022848e-08,0.9999916675081124,0.7,0.0,0.1,6,800,1.5,0.85
3,0.0007466196288146719,0.00032901869121936824,5.574408701313585e-07,0.9999646152530912,0.85,0.0,0.05,4,600,0.5,1.0
5,0.008266981517728932,0.005659988335728855,6.834298341447175e-05,0.9876316795694285,1.0,0.1,0.03,4,800,1.0,0.85
4,0.00836713882579582,0.00571009033034142,7.000901213013987e-05,0.987893598580268,1.0,0.1,0.1,4,400,1.5,0.85
1,0.008600698175852755,0.0059070661896598094,7.39720091121169e-05,0.9867907713392238,1.0,0.1,0.05,4,800,1.0,0.75
