config_id,rmse,mae,mse,r2,activation,alpha,batch_size,hidden_layer_sizes,learning_rate_init,max_iter
3,0.000315713834356638,0.0002102370322422906,9.967522520417064e-08,0.9999435069300526,relu,0.0001,128,"(256, 128)",0.0005,650
1,0.00042257308087213053,0.0002949815007933994,1.7856800867776418e-07,0.9999030694234732,relu,0.0005,128,"(256, 128)",0.001,650
4,0.0008143218630169368,0.0006388984421745922,6.631200965873747e-07,0.9997126938916927,relu,0.0005,64,"(256, 128)",0.0005,650
5,0.0011994551519542418,0.0008589024985392161,1.4386926615495734e-06,0.9997471174638447,relu,0.0005,64,"(256, 128, 64)",0.001,650
6,0.0013994542501953489,0.001019173674471937,1.958472198389826e-06,0.9996900115942939,relu,0.001,64,"(256, 128, 64)",0.0005,400
2,0.0016371851685271484,0.0010770330997069478,2.6803752760452674e-06,0.9996817169967989,relu,0.001,64,"(128, 64, 32)",0.001,400
